timestamp,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_volume,601288.SS_open,601288.SS_high,601288.SS_low,601288.SS_close,601288.SS_volume,GLD_open,GLD_high,GLD_low,GLD_close,GLD_volume,GOOGL_open,GOOGL_high,GOOGL_low,GOOGL_close,GOOGL_volume,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_volume,IBM_open,IBM_high,IBM_low,IBM_close,IBM_volume
2010-07-15,25.5,25.59,24.98,25.51,56934700.0,2.74,2.74,2.69,2.7,4039725.0,118.59,118.7,117.73,118.23,8586363.0,491.73,494.7,482.68,494.02,9706600.0,248.23,256.97,247.3,251.45,29459500.0,129.87,130.92,129.55,130.72,6186800.0
2010-07-16,25.51,25.64,24.88,24.89,65064800.0,2.7,2.7,2.68,2.69,1378955.0,116.69,116.79,115.95,116.67,17493011.0,469.12,470.56,459.52,459.605,15633900.0,253.18,254.97,248.41,249.9,37137800.0,129.96,130.15,127.85,128.03,7002900.0
2010-07-19,24.96,25.3,24.91,25.23,38181800.0,2.68,2.71,2.68,2.71,1146738.0,115.57,115.8041,115.11,115.73,15712029.0,461.01,469.65,457.52,466.18,9091400.0,249.88,249.88,239.6,245.58,36588500.0,128.67,130.38,128.37,129.79,8388600.0
2010-07-20,24.86,25.48,24.7,25.48,45530700.0,2.7,2.71,2.69,2.71,844226.0,115.75,116.74,115.48,116.65,9251882.0,461.03,482.99,460.6,481.59,8100800.0,242.9,252.9,240.01,251.89,38391100.0,122.97,126.56,122.93,126.55,16337400.0
2010-07-21,25.6,25.65,24.975,25.12,73297300.0,2.7,2.71,2.69,2.71,622094.0,116.8,117.0,115.71,115.85,9396016.0,484.0,485.7,475.4301,477.5,6552600.0,265.09,265.15,254.0,254.24,42345400.0,126.44,126.5,124.62,125.27,8615500.0
2010-07-22,25.51,25.99,25.47,25.84,73016400.0,2.7,2.75,2.69,2.73,1065123.0,115.95,117.5,115.91,116.863,8159175.0,483.23,488.98,482.48,484.81,4291100.0,257.68,260.0,255.31,259.024,23047100.0,126.32,127.78,126.05,127.47,6909000.0
2010-07-23,25.84,26.02,25.25,25.81,108520100.0,2.73,2.84,2.73,2.81,1792783.0,117.12,117.47,115.79,116.09,8336529.0,480.77,490.59,480.01,490.06,4524200.0,257.09,260.38,256.28,259.94,19049600.0,127.3,128.8,127.0,128.38,5078000.0
2010-07-26,25.86,26.2,25.8,26.1,67249900.0,2.83,2.84,2.77,2.8,704694.0,116.38,116.47,115.3,115.52,11213045.0,489.09,490.749,484.88,488.97,3986400.0,260.0,260.0998,257.71,259.28,15019700.0,128.18,128.43,127.14,128.41,5174900.0
2010-07-27,26.14,26.24,25.96,26.16,60672100.0,2.79,2.8,2.77,2.78,384484.0,114.95,114.99,113.21,113.51,29523426.0,490.575,497.5,490.17,492.63,4897400.0,260.87,264.8,260.3,264.08,20884700.0,128.78,129.17,127.89,128.63,4648200.0
2010-07-28,26.07,26.19,25.83,25.95,69704800.0,2.78,2.85,2.78,2.84,796917.0,113.48,113.93,113.08,113.78,16071445.0,494.94,495.25,482.67,484.35,4987000.0,263.67,265.99,260.25,260.96,18570900.0,128.67,129.35,127.88,128.43,4248800.0
2010-07-29,26.13,26.41,25.6,26.03,69446200.0,2.84,2.88,2.81,2.83,894588.0,113.54,114.35,113.34,114.288,9476248.0,485.95,488.88,479.33,484.99,5345600.0,260.71,262.65,256.1,258.11,22993100.0,129.06,129.5,127.14,128.02,8994200.0
2010-07-30,25.75,25.84,25.35,25.81,83534800.0,2.82,2.82,2.77,2.79,510625.0,114.36,115.73,114.08,115.49,10093137.0,479.65,487.36,479.14,484.85,4283900.0,255.8925,259.7,254.9,257.25,16007500.0,127.43,128.98,127.04,128.4,6021000.0
2010-08-02,25.99,26.38,25.75,26.33,55044600.0,2.78,2.81,2.77,2.8,521575.0,116.12,116.39,115.2,115.54,8452177.0,488.99,493.28,486.94,490.41,3713600.0,260.44,262.59,259.62,261.85,15287700.0,129.25,131.2,129.25,130.76,6437500.0
2010-08-03,26.2,26.35,25.97,26.16,56877700.0,2.8,2.81,2.73,2.73,566704.0,115.88,116.44,115.81,115.99,5579073.0,490.5,492.46,486.76,489.83,3600900.0,261.01,263.26,259.42,261.93,14916200.0,130.03,131.04,129.33,130.37,5091800.0
2010-08-04,26.15,26.24,25.44,25.73,78531900.0,2.73,2.75,2.7,2.73,413863.0,117.41,117.65,116.65,116.72,10322481.0,492.18,507.0,491.05,506.32,7617300.0,262.84,264.28,260.311,262.98,15013400.0,130.46,131.5,129.85,131.27,4567500.0
2010-08-05,25.49,25.58,25.21,25.37,64922100.0,2.73,2.73,2.71,2.72,335500.0,117.01,117.1,116.35,116.98,7022319.0,505.89,508.6,503.559,508.1,4835900.0,261.73,263.18,260.55,261.7,10324900.0,130.73,131.98,130.53,131.83,4520600.0
2010-08-06,25.18,25.56,25.02,25.55,55982100.0,2.72,2.73,2.7,2.72,328015.0,117.99,118.42,117.49,117.84,10000856.0,505.4,505.74,496.05,500.22,6632300.0,259.78,261.49,257.63,260.091,15889200.0,130.41,130.48,128.76,130.14,6136200.0
2010-08-09,25.55,25.73,25.37,25.61,57096500.0,2.72,2.73,2.7,2.72,459888.0,117.76,117.85,117.23,117.4,6750535.0,502.25,505.5,501.3632,505.35,3740600.0,261.48,262.15,259.57,261.75,10826000.0,130.79,132.34,130.4,132.0,6131700.0
2010-08-10,25.33,25.34,24.88,25.07,87257700.0,2.71,2.72,2.68,2.69,506684.0,116.59,118.09,116.4,117.73,10431789.0,502.35,506.0,498.57,503.71,4143800.0,259.85,260.45,257.55,259.41,16140000.0,131.18,132.49,130.77,131.84,5471700.0
2010-08-11,24.68,24.9,24.56,24.86,76746900.0,2.69,2.7,2.68,2.69,468119.0,117.74,118.14,116.58,117.34,12387514.0,497.73,498.0,491.5,491.74,4441500.0,255.4,255.69,249.81,250.19,22144800.0,130.69,130.69,129.461,129.83,6316100.0
2010-08-12,24.42,24.6825,24.36,24.49,70240500.0,2.68,2.69,2.68,2.68,511567.0,118.56,118.86,118.46,118.77,12312125.0,483.94,494.75,482.51,492.01,4404700.0,246.69,253.1,246.12,251.79,19104300.0,127.69,128.78,127.52,128.3,5132200.0
2010-08-13,24.35,24.67,24.24,24.4,45263500.0,2.68,2.69,2.68,2.69,661554.0,118.82,118.89,118.36,118.74,10213130.0,489.0,491.19,486.01,486.35,3865500.0,251.65,251.88,249.09,249.1,12673900.0,127.96,128.46,127.33,127.87,4669400.0
2010-08-16,24.36,24.61,24.3,24.5,40909700.0,2.68,2.72,2.68,2.71,386549.0,119.7,119.825,119.46,119.73,8947727.0,483.68,489.87,480.5019,485.59,2607300.0,247.58,250.01,246.62,247.64,11372500.0,127.47,128.23,126.96,127.77,4009200.0
2010-08-17,24.71,24.96,24.6,24.71,52912600.0,2.7,2.7,2.68,2.69,332728.0,119.75,119.97,119.6,119.75,9109248.0,488.53,494.7,486.03,490.52,3777600.0,250.08,254.63,249.2,251.97,15094300.0,128.83,129.85,127.905,128.45,4298300.0
2010-08-18,24.68,24.95,24.41,24.82,46818900.0,2.69,2.71,2.68,2.69,395987.0,119.23,120.51,119.0,120.22,12098953.0,490.44,490.87,481.55,482.15,5367400.0,252.36,254.67,251.58,253.07,12132000.0,128.87,130.195,127.8,129.3925,4883200.0
2010-08-19,24.62,24.74,24.21,24.44,54064600.0,2.69,2.7,2.68,2.69,414254.0,120.65,120.99,120.11,120.39,10009095.0,481.01,482.51,467.25,467.97,7842100.0,252.84,253.48,248.68,249.88,15239500.0,128.67,129.59,128.02,128.9,5402400.0
